"","wordsum","wrkstat","age","pres08","authoritarianism","income","con_govt","conarmy","degree"
"286",7,"WORKING FULL TIME",33,"McCain",NA,176098.97122561,NA,NA,"Junior Coll"
"287",NA,"WORKING PART TIME",65,"McCain",0,26347.8193360761,2,"ONLY SOME","Bachelor deg"
"288",NA,"UNEMPLOYED, LAID OFF",55,NA,4,NA,1,"HARDLY ANY","<HS"
"289",NA,"WORKING FULL TIME",45,"Obama",3,140727.83605832,4,"A GREAT DEAL","Junior Coll"
"290",6,"WORKING PART TIME",35,NA,NA,37163.853326895,NA,NA,"<HS"
"291",6,"WORKING FULL TIME",36,NA,5,11048.9788150555,1,"HARDLY ANY","Junior Coll"
"292",NA,"KEEPING HOUSE",43,"Obama",5,74999.3546691622,NA,"A GREAT DEAL","Graduate deg"
"293",6,"RETIRED",83,NA,1,37420.4350081821,4,"A GREAT DEAL","HS"
"294",5,"RETIRED",64,"Obama",4,13137.419578264,3,"ONLY SOME","HS"
"295",10,"WORKING FULL TIME",38,"Obama",1,NA,1,"ONLY SOME","Graduate deg"
"296",5,"WORKING FULL TIME",25,NA,NA,49997.3509446812,NA,NA,"HS"
"297",NA,"RETIRED",81,"McCain",1,74998.5729952499,3,"A GREAT DEAL","Graduate deg"
"298",6,"WORKING PART TIME",23,"McCain",NA,NA,NA,NA,"HS"
"299",NA,"WORKING FULL TIME",21,NA,3,37782.9125204943,4,"A GREAT DEAL","HS"
"300",NA,"WORKING PART TIME",56,NA,1,120638.486814752,1,"A GREAT DEAL","HS"
"301",4,"WORKING FULL TIME",30,NA,4,27546.9968195444,1,"ONLY SOME","HS"
"302",6,"RETIRED",69,NA,NA,37391.7857963299,NA,NA,"HS"
"303",NA,"KEEPING HOUSE",62,"McCain",2,NA,1,"ONLY SOME","HS"
"304",NA,"WORKING FULL TIME",39,"Obama",1,140258.85796529,2,"A GREAT DEAL","Bachelor deg"
"305",8,"WORKING FULL TIME",25,"Obama",NA,4719.98788277715,NA,NA,"Bachelor deg"
"306",5,"RETIRED",75,"Obama",0,54565.2961990202,2,"ONLY SOME","Graduate deg"
"307",7,"WORKING FULL TIME",46,"Obama",NA,174053.90376348,NA,NA,"Graduate deg"
"308",NA,NA,57,NA,6,NA,4,"A GREAT DEAL","<HS"
"309",7,"SCHOOL",20,NA,NA,82964.651410358,NA,NA,"HS"
"310",NA,"WORKING FULL TIME",53,"Obama",1,NA,2,"A GREAT DEAL","Bachelor deg"
"311",9,"WORKING FULL TIME",53,"McCain",NA,175243.113037936,NA,NA,"Bachelor deg"
"312",2,"KEEPING HOUSE",42,NA,6,36824.1192796791,4,"A GREAT DEAL","<HS"
"313",NA,"WORKING FULL TIME",63,"McCain",1,175020.962610194,4,"A GREAT DEAL","Graduate deg"
"314",8,"WORKING FULL TIME",55,"Obama",NA,175481.930154079,NA,NA,"Graduate deg"
"315",NA,"WORKING FULL TIME",54,"Obama",3,174693.757979377,2,"A GREAT DEAL","Graduate deg"
"316",9,"WORKING PART TIME",77,"McCain",NA,175409.939976583,NA,NA,"Graduate deg"
"317",NA,"TEMP NOT WORKING",48,"Obama",4,37699.1870554165,NA,"ONLY SOME","Bachelor deg"
"318",NA,"WORKING FULL TIME",52,NA,4,49999.6910595482,NA,"A GREAT DEAL","<HS"
"319",NA,"WORKING FULL TIME",31,"Obama",3,54877.9742723618,3,"A GREAT DEAL","HS"
"320",5,"WORKING FULL TIME",57,"Obama",3,32700.0172722686,3,"ONLY SOME","HS"
"321",1,"UNEMPLOYED, LAID OFF",21,NA,1,9235.93555018727,3,"ONLY SOME","HS"
"322",NA,"WORKING FULL TIME",50,NA,2,37878.2906406553,3,"ONLY SOME","Junior Coll"
"323",7,"WORKING FULL TIME",38,NA,NA,174873.753379397,NA,NA,"Bachelor deg"
"324",5,"WORKING FULL TIME",33,NA,NA,74998.7095655951,NA,NA,"<HS"
"325",NA,"WORKING FULL TIME",26,NA,6,74999.1820458338,4,"ONLY SOME","HS"
"326",NA,"KEEPING HOUSE",33,"Obama",1,11191.630467287,4,"A GREAT DEAL","HS"
"327",6,"WORKING FULL TIME",44,"Obama",NA,52843.4571787657,NA,NA,"Bachelor deg"
"328",NA,"WORKING FULL TIME",25,"McCain",1,74999.7801333696,4,"A GREAT DEAL","Bachelor deg"
"329",NA,"WORKING FULL TIME",27,"Obama",1,49997.666364217,4,"ONLY SOME","Bachelor deg"
"330",7,"WORKING PART TIME",27,"McCain",0,16737.899481914,4,"ONLY SOME","Bachelor deg"
"331",7,"WORKING FULL TIME",28,"McCain",NA,140528.418870202,NA,NA,"Bachelor deg"
"332",3,"WORKING FULL TIME",22,"Obama",2,37085.0574107012,4,"A GREAT DEAL","Bachelor deg"
"333",NA,"KEEPING HOUSE",48,"Obama",0,139983.259674749,3,"A GREAT DEAL","Graduate deg"
"334",8,"RETIRED",89,NA,NA,23975.0029068653,NA,NA,"<HS"
"335",NA,"WORKING FULL TIME",49,"McCain",1,NA,2,"A GREAT DEAL","Bachelor deg"
"336",5,"RETIRED",87,"Obama",NA,9516.02582980677,NA,NA,"HS"
"337",NA,"RETIRED",64,NA,5,NA,2,"ONLY SOME","Bachelor deg"
"338",7,"WORKING FULL TIME",41,"McCain",NA,NA,NA,NA,"Junior Coll"
"339",NA,NA,57,NA,2,32011.8223369545,3,"A GREAT DEAL","<HS"
"340",9,"WORKING PART TIME",46,"Obama",0,NA,2,"HARDLY ANY","Bachelor deg"
"341",10,"WORKING PART TIME",58,"Obama",NA,175046.511910381,NA,NA,"Graduate deg"
"342",NA,"RETIRED",78,"Obama",0,53966.9050501607,4,"A GREAT DEAL","Bachelor deg"
"343",10,"KEEPING HOUSE",45,"Obama",NA,176445.501115651,NA,NA,"Graduate deg"
"344",5,"WORKING FULL TIME",38,NA,1,36872.2741873798,3,"ONLY SOME","HS"
"345",NA,"RETIRED",69,"Obama",0,32034.4374712316,4,"ONLY SOME","Graduate deg"
"346",NA,"WORKING PART TIME",61,"Obama",3,139765.497400885,4,"A GREAT DEAL","Junior Coll"
"347",8,"WORKING FULL TIME",48,NA,NA,175915.084554547,NA,NA,"Graduate deg"
"348",7,"TEMP NOT WORKING",37,"McCain",3,81411.0444746449,2,"A GREAT DEAL","Bachelor deg"
"349",4,"WORKING FULL TIME",47,"Obama",NA,11542.9020647525,NA,NA,"HS"
"350",NA,"WORKING FULL TIME",26,NA,0,74998.613856022,4,"A GREAT DEAL","Graduate deg"
"351",5,"WORKING FULL TIME",41,"Obama",NA,56759.6378605892,NA,NA,"HS"
"352",NA,"UNEMPLOYED, LAID OFF",55,"Obama",0,3583.32095408461,2,"ONLY SOME","Graduate deg"
"353",5,"RETIRED",81,NA,4,9117.96750027599,4,"A GREAT DEAL","<HS"
"354",9,"WORKING FULL TIME",32,"Obama",NA,NA,NA,NA,"Bachelor deg"
"355",10,"WORKING FULL TIME",27,"Obama",NA,49991.4307734561,NA,NA,"HS"
"356",6,"KEEPING HOUSE",32,"Obama",3,18916.3283679257,2,"HARDLY ANY","HS"
"357",NA,"WORKING PART TIME",39,"McCain",2,NA,3,"A GREAT DEAL","Graduate deg"
"358",6,"WORKING FULL TIME",55,"Obama",NA,81013.818039179,NA,NA,"Bachelor deg"
"359",NA,"WORKING FULL TIME",35,"Obama",2,174596.108158952,2,"ONLY SOME","Bachelor deg"
"360",8,"UNEMPLOYED, LAID OFF",64,"Obama",NA,31505.9397219486,NA,NA,"Bachelor deg"
"361",NA,"KEEPING HOUSE",85,"Obama",3,22974.9200873636,3,"A GREAT DEAL","HS"
"362",8,"UNEMPLOYED, LAID OFF",52,"Obama",NA,26416.8607854722,NA,NA,"HS"
"363",NA,NA,46,"Obama",2,NA,3,"A GREAT DEAL","HS"
"364",1,"WORKING FULL TIME",34,NA,NA,2152.191979551,NA,NA,"<HS"
"365",3,NA,55,NA,5,16392.5563409361,2,"ONLY SOME","<HS"
"366",2,"RETIRED",72,"McCain",NA,14139.0118940048,NA,NA,"HS"
"367",8,"KEEPING HOUSE",34,"Obama",2,38338.8396651127,3,"ONLY SOME","Junior Coll"
"368",NA,"WORKING FULL TIME",35,NA,6,82529.4711214099,3,"A GREAT DEAL","<HS"
"369",8,"WORKING FULL TIME",61,"Obama",1,120656.046267578,4,"A GREAT DEAL","HS"
"370",NA,NA,56,"Obama",3,22959.7541272855,1,"A GREAT DEAL","HS"
"371",7,NA,60,NA,NA,10991.6372055089,NA,NA,"HS"
"372",7,"RETIRED",65,"Obama",NA,NA,NA,NA,"Bachelor deg"
"373",NA,"RETIRED",85,"McCain",4,56352.9476494161,4,"A GREAT DEAL","HS"
"374",5,"WORKING FULL TIME",42,"McCain",4,83227.1810330847,1,"A GREAT DEAL","HS"
"375",5,"WORKING FULL TIME",27,NA,NA,174784.312421602,NA,NA,"HS"
"376",NA,"RETIRED",85,NA,3,NA,4,"A GREAT DEAL","HS"
"377",10,"WORKING FULL TIME",63,"Obama",NA,NA,NA,NA,"HS"
"378",NA,"WORKING PART TIME",61,"Obama",0,NA,2,"HARDLY ANY","Bachelor deg"
"379",6,"WORKING PART TIME",27,NA,4,139407.676977508,4,"A GREAT DEAL","Graduate deg"
"380",10,"WORKING FULL TIME",48,"Obama",NA,140596.857926397,NA,NA,"Bachelor deg"
"381",3,"WORKING FULL TIME",25,NA,1,121241.50593411,4,"HARDLY ANY","Bachelor deg"
"382",6,"TEMP NOT WORKING",34,NA,3,173923.581403563,2,"ONLY SOME","HS"
"383",NA,"WORKING PART TIME",37,"Obama",6,174387.133503613,2,"ONLY SOME","Bachelor deg"
"384",9,"RETIRED",64,NA,NA,11158.4186901861,NA,NA,"HS"
"385",9,"WORKING FULL TIME",82,"Obama",1,120741.647535597,3,"A GREAT DEAL","Graduate deg"
"386",10,NA,43,"Obama",NA,NA,NA,NA,"Bachelor deg"
"387",6,"RETIRED",54,NA,NA,4506.25681927551,NA,NA,"HS"
"388",NA,"WORKING FULL TIME",25,"Obama",1,15958.0958105878,2,"A GREAT DEAL","HS"
"389",9,"RETIRED",78,"Obama",NA,24364.7674079538,NA,NA,"Bachelor deg"
"390",NA,"UNEMPLOYED, LAID OFF",19,NA,0,38357.5486001947,3,"A GREAT DEAL","HS"
"391",6,"RETIRED",64,"Obama",2,16348.0773392951,2,"ONLY SOME","HS"
"392",6,"WORKING FULL TIME",23,"Obama",NA,81996.5371406195,NA,NA,"HS"
"393",NA,"WORKING FULL TIME",31,"Obama",0,175798.735227516,1,"HARDLY ANY","Bachelor deg"
"394",9,"WORKING FULL TIME",41,"Obama",NA,174409.895345906,NA,NA,"Junior Coll"
"395",7,"WORKING FULL TIME",29,"Obama",NA,27022.0175926812,NA,NA,"HS"
"396",2,"WORKING FULL TIME",51,"Obama",2,37798.1667497832,1,"HARDLY ANY","Graduate deg"
"397",9,"WORKING FULL TIME",55,"McCain",2,49995.3024785363,2,"A GREAT DEAL","Bachelor deg"
"398",6,"WORKING PART TIME",36,"Obama",NA,80613.4397863574,NA,NA,"HS"
"399",10,"RETIRED",87,"Obama",3,33116.877534556,3,"HARDLY ANY","HS"
"400",6,"WORKING FULL TIME",28,NA,3,82335.675363115,4,"A GREAT DEAL","Bachelor deg"
"401",8,"WORKING FULL TIME",35,"McCain",NA,175070.586333883,NA,NA,"Bachelor deg"
"402",NA,"WORKING FULL TIME",37,NA,5,176336.027135814,4,"A GREAT DEAL","Graduate deg"
"403",8,"RETIRED",84,"Obama",4,54331.4018333885,1,"ONLY SOME","HS"
"404",NA,"SCHOOL",21,NA,0,14249.0228162032,2,"A GREAT DEAL","HS"
"405",NA,"WORKING FULL TIME",49,"Obama",3,140287.641230438,4,"A GREAT DEAL","Bachelor deg"
"406",4,"KEEPING HOUSE",42,NA,NA,55149.4318068405,NA,NA,"HS"
"407",7,"RETIRED",69,"McCain",3,NA,1,"A GREAT DEAL","HS"
"408",NA,"WORKING FULL TIME",32,"Obama",3,141213.290168096,1,"HARDLY ANY","Bachelor deg"
"409",9,"RETIRED",69,"Obama",NA,119998.977469112,NA,NA,"Graduate deg"
"410",NA,"UNEMPLOYED, LAID OFF",48,"McCain",0,NA,2,"A GREAT DEAL","Bachelor deg"
"411",7,"WORKING PART TIME",20,NA,NA,55096.467768196,NA,NA,"<HS"
"412",8,"WORKING FULL TIME",51,"Obama",NA,NA,NA,NA,"Graduate deg"
"413",NA,"WORKING PART TIME",60,"Obama",1,74996.2674737693,3,"ONLY SOME","Graduate deg"
"414",10,"WORKING PART TIME",59,"Obama",0,74999.9405944372,2,"HARDLY ANY","Bachelor deg"
"415",NA,"KEEPING HOUSE",89,"Obama",1,49997.8982342234,3,"ONLY SOME","Bachelor deg"
"416",NA,"WORKING PART TIME",18,NA,5,32530.4768925947,1,"A GREAT DEAL","HS"
"417",9,"RETIRED",62,"McCain",NA,120075.662080472,NA,NA,"Bachelor deg"
"418",8,"WORKING PART TIME",54,NA,1,74999.3130084096,4,"ONLY SOME","HS"
"419",5,"WORKING PART TIME",19,NA,NA,NA,NA,NA,"HS"
"420",5,"WORKING FULL TIME",38,NA,NA,49997.3406496086,NA,NA,"HS"
"421",NA,"WORKING FULL TIME",31,"McCain",3,84822.4465630071,3,"A GREAT DEAL","HS"
"422",10,"UNEMPLOYED, LAID OFF",51,"McCain",1,37220.9504108785,3,"ONLY SOME","Graduate deg"
"423",8,"WORKING PART TIME",23,NA,NA,19163.3722919693,NA,NA,"HS"
"424",NA,"WORKING FULL TIME",48,"Obama",0,NA,1,"ONLY SOME","Bachelor deg"
"425",5,"WORKING FULL TIME",45,"Obama",1,54500.3760587144,1,"ONLY SOME","Junior Coll"
"426",6,"UNEMPLOYED, LAID OFF",20,NA,NA,80889.257532457,NA,NA,"HS"
"427",10,"RETIRED",70,NA,0,74997.9511408632,3,"A GREAT DEAL","HS"
"428",7,"WORKING FULL TIME",58,NA,NA,140731.129736452,NA,NA,"Bachelor deg"
"429",NA,"WORKING FULL TIME",63,"McCain",2,174564.690341436,1,"ONLY SOME","Bachelor deg"
"430",NA,"KEEPING HOUSE",44,"McCain",0,174608.940379925,3,"A GREAT DEAL","HS"
"431",4,"RETIRED",87,"McCain",6,NA,2,"A GREAT DEAL","HS"
"432",4,"WORKING FULL TIME",50,"Obama",1,NA,3,"ONLY SOME","Bachelor deg"
"433",3,"KEEPING HOUSE",52,"Obama",3,22983.9250013765,4,"A GREAT DEAL","HS"
"434",5,"WORKING FULL TIME",32,"McCain",NA,74996.5049852453,NA,NA,"Junior Coll"
"435",7,"WORKING FULL TIME",43,"Obama",1,174578.822369384,4,"A GREAT DEAL","Graduate deg"
"436",5,"WORKING FULL TIME",51,"McCain",NA,174217.345975999,NA,NA,"Bachelor deg"
"437",NA,"WORKING FULL TIME",58,"McCain",3,80575.2687190138,1,"A GREAT DEAL","Graduate deg"
"438",5,"RETIRED",75,"Obama",NA,NA,NA,NA,"<HS"
"439",NA,"KEEPING HOUSE",71,"McCain",2,82325.510378937,1,"A GREAT DEAL","Bachelor deg"
"440",NA,"RETIRED",72,"Obama",4,82718.2289867437,4,"A GREAT DEAL","HS"
"441",5,"UNEMPLOYED, LAID OFF",64,NA,NA,20887.2224443502,NA,NA,"HS"
"442",6,"UNEMPLOYED, LAID OFF",35,"Obama",2,6501.69358176818,1,"ONLY SOME","HS"
"443",6,"WORKING FULL TIME",34,"Obama",4,82900.0058314524,3,"ONLY SOME","HS"
"444",NA,"WORKING FULL TIME",71,"Obama",5,NA,2,"ONLY SOME","<HS"
"445",NA,"WORKING FULL TIME",41,NA,4,15502.1211951473,1,"ONLY SOME","Bachelor deg"
"446",6,"WORKING FULL TIME",34,"McCain",3,120713.023841839,1,"A GREAT DEAL","HS"
"447",6,"WORKING FULL TIME",50,"Obama",NA,12937.5869995442,NA,NA,"HS"
"448",NA,"WORKING FULL TIME",23,NA,4,49996.6456029845,3,"A GREAT DEAL","HS"
"449",5,"RETIRED",53,NA,NA,23744.8640796724,NA,NA,"HS"
"450",5,"RETIRED",64,"Obama",4,32444.64078576,4,"ONLY SOME","HS"
"451",9,"WORKING FULL TIME",41,"Obama",0,NA,2,"A GREAT DEAL","Graduate deg"
"452",NA,"WORKING FULL TIME",46,"Obama",0,21861.0127437996,4,"A GREAT DEAL","HS"
"453",9,"WORKING FULL TIME",54,"Obama",NA,NA,NA,NA,"Bachelor deg"
"454",9,"WORKING FULL TIME",67,"Obama",2,81796.8581839418,2,"HARDLY ANY","Graduate deg"
"455",NA,"WORKING FULL TIME",53,"Obama",0,54105.763326636,3,"ONLY SOME","Bachelor deg"
"456",7,"RETIRED",59,"McCain",NA,83576.0237648777,NA,NA,"HS"
"457",NA,"WORKING PART TIME",65,NA,0,NA,4,"ONLY SOME","HS"
"458",8,"WORKING FULL TIME",51,NA,1,NA,4,"A GREAT DEAL","HS"
"459",NA,"WORKING FULL TIME",39,NA,2,NA,NA,NA,"Junior Coll"
"460",5,"WORKING PART TIME",49,"McCain",1,82598.1437583671,1,"ONLY SOME","HS"
"461",10,"WORKING FULL TIME",30,"Obama",NA,175641.044206199,NA,NA,"Bachelor deg"
"462",5,NA,57,"Obama",1,121068.658924877,2,"A GREAT DEAL","Bachelor deg"
"463",NA,"WORKING FULL TIME",36,"Obama",4,140234.125185258,2,"A GREAT DEAL","Graduate deg"
"464",9,"WORKING FULL TIME",39,"Obama",1,174690.601542938,3,"A GREAT DEAL","Graduate deg"
"465",NA,"KEEPING HOUSE",38,NA,1,NA,4,"A GREAT DEAL","Bachelor deg"
"466",NA,"WORKING FULL TIME",46,"McCain",0,175421.116244618,2,"A GREAT DEAL","Bachelor deg"
"467",7,"WORKING FULL TIME",41,NA,NA,174698.259367863,NA,NA,"Bachelor deg"
"468",5,"WORKING FULL TIME",29,NA,3,74997.3740176347,NA,"A GREAT DEAL","Graduate deg"
"469",6,"WORKING FULL TIME",58,NA,NA,NA,NA,NA,"HS"
"470",NA,"WORKING FULL TIME",48,NA,1,173843.11522111,2,"ONLY SOME","Graduate deg"
"471",9,NA,31,NA,NA,NA,NA,NA,"Graduate deg"
"472",6,"WORKING FULL TIME",54,"Obama",1,49996.467405441,1,"ONLY SOME","Junior Coll"
"473",4,"WORKING PART TIME",37,"Obama",4,8670.68690055083,1,"HARDLY ANY","<HS"
"474",7,"WORKING FULL TIME",48,"Obama",NA,54185.8843852475,NA,NA,"Graduate deg"
"475",NA,"UNEMPLOYED, LAID OFF",58,NA,6,NA,3,"ONLY SOME","HS"
"476",2,"WORKING FULL TIME",77,"Obama",5,11083.8976129997,NA,NA,"<HS"
"477",5,"WORKING PART TIME",44,"Obama",NA,22940.0630961547,NA,NA,"HS"
"478",NA,"WORKING FULL TIME",27,"Obama",2,NA,3,"A GREAT DEAL","Junior Coll"
"479",3,"WORKING PART TIME",19,NA,NA,138860.283931207,NA,NA,"<HS"
"480",NA,"WORKING FULL TIME",55,NA,6,54657.8244066551,4,"A GREAT DEAL","HS"
"481",6,"WORKING FULL TIME",52,"McCain",NA,83060.4681744499,NA,NA,"HS"
"482",4,"RETIRED",63,"Obama",6,27576.3388940152,1,"A GREAT DEAL","HS"
"483",NA,"WORKING FULL TIME",39,"McCain",4,54777.3628841226,3,"A GREAT DEAL","Junior Coll"
"484",2,"KEEPING HOUSE",68,"Obama",2,NA,1,"HARDLY ANY","<HS"
"485",2,"RETIRED",82,"Obama",4,NA,NA,NA,"<HS"
"486",6,"KEEPING HOUSE",59,NA,NA,NA,NA,NA,"HS"
"487",7,"WORKING PART TIME",64,"Obama",2,NA,4,"A GREAT DEAL","HS"
"488",7,"WORKING FULL TIME",47,"Obama",1,NA,3,"ONLY SOME","Graduate deg"
"489",NA,"WORKING FULL TIME",45,"Obama",4,74999.8660398546,3,"ONLY SOME","HS"
"490",2,"WORKING FULL TIME",37,NA,NA,81952.3706886668,NA,NA,"HS"
"491",1,"UNEMPLOYED, LAID OFF",20,NA,4,21966.3941749756,2,"A GREAT DEAL","<HS"
"492",3,"WORKING FULL TIME",31,"Obama",NA,79599.7548975704,NA,NA,"Graduate deg"
"493",7,"KEEPING HOUSE",22,NA,1,3385.92304307969,3,"ONLY SOME","HS"
"494",9,"RETIRED",61,"Obama",2,74999.5773465768,2,"A GREAT DEAL","Bachelor deg"
"495",5,"WORKING FULL TIME",56,"McCain",1,119386.896150574,2,"A GREAT DEAL","Junior Coll"
"496",7,"WORKING FULL TIME",34,NA,NA,74997.1140871354,NA,NA,"<HS"
"497",4,"WORKING FULL TIME",53,NA,5,74998.0647185448,4,"A GREAT DEAL","<HS"
"498",NA,"WORKING FULL TIME",22,NA,5,28181.8133314483,3,"ONLY SOME","HS"
"499",4,"WORKING FULL TIME",39,NA,NA,19378.3636205116,NA,"A GREAT DEAL","HS"
"500",NA,"WORKING FULL TIME",25,NA,3,23056.2052235719,2,"A GREAT DEAL","<HS"
"501",6,"RETIRED",75,"McCain",4,27343.4557386733,2,"A GREAT DEAL","Graduate deg"
"502",NA,"WORKING FULL TIME",44,"Obama",0,119261.370474391,4,"ONLY SOME","Graduate deg"
"503",8,"WORKING FULL TIME",26,NA,NA,13831.2284869452,NA,NA,"HS"
"504",NA,"WORKING FULL TIME",40,"Obama",4,81814.6740689928,4,"A GREAT DEAL","Junior Coll"
"505",6,"WORKING FULL TIME",33,NA,NA,49997.2784677568,NA,NA,"HS"
"506",3,"TEMP NOT WORKING",49,NA,1,54474.2071810552,4,"ONLY SOME","<HS"
"507",1,"UNEMPLOYED, LAID OFF",49,NA,NA,NA,NA,NA,"HS"
"508",NA,"WORKING FULL TIME",48,"Obama",1,175096.990164043,4,"A GREAT DEAL","Graduate deg"
"509",8,"WORKING FULL TIME",40,"Obama",NA,121035.185032857,NA,NA,"Bachelor deg"
"510",NA,"RETIRED",80,"Obama",2,NA,3,"ONLY SOME","HS"
"511",4,"WORKING PART TIME",21,NA,3,359.549146405635,NA,"ONLY SOME","HS"
"512",3,"WORKING FULL TIME",38,NA,NA,901.079957840005,NA,NA,"<HS"
"513",6,"RETIRED",74,"McCain",NA,49994.9313181884,NA,NA,"HS"
"514",NA,"RETIRED",75,"McCain",1,74998.1077529782,1,"A GREAT DEAL","Bachelor deg"
"515",7,"WORKING FULL TIME",40,"McCain",NA,140062.081822469,NA,NA,"HS"
"516",NA,"KEEPING HOUSE",50,"McCain",2,NA,1,"ONLY SOME","Bachelor deg"
"517",7,"WORKING FULL TIME",48,NA,7,82760.1158854057,1,"A GREAT DEAL","<HS"
"518",NA,"WORKING PART TIME",32,NA,2,33519.6271431062,3,"ONLY SOME","<HS"
"519",6,"WORKING PART TIME",41,NA,NA,74996.7606583332,NA,NA,"<HS"
"520",NA,"KEEPING HOUSE",26,NA,5,NA,NA,NA,"<HS"
"521",8,"WORKING FULL TIME",57,"Obama",1,39222.0007026989,2,"A GREAT DEAL","HS"
"522",NA,"SCHOOL",30,"Obama",1,93.7937289399109,1,"ONLY SOME","HS"
"523",NA,"KEEPING HOUSE",41,"Obama",5,7475.71328484135,4,"A GREAT DEAL","HS"
"524",NA,"WORKING PART TIME",50,NA,4,498.16761948245,4,"A GREAT DEAL","<HS"
"525",4,"WORKING PART TIME",30,"Obama",NA,33086.073408338,NA,NA,"HS"
"526",4,"WORKING FULL TIME",47,"Obama",4,24051.9125466625,3,"A GREAT DEAL","HS"
"527",NA,"KEEPING HOUSE",65,"Obama",3,4386.90772002982,1,"ONLY SOME","<HS"
"528",3,"WORKING PART TIME",43,NA,5,NA,1,NA,"<HS"
"529",NA,"SCHOOL",20,NA,0,54881.591306472,3,"ONLY SOME","HS"
"530",9,"WORKING FULL TIME",47,"Obama",1,82564.4642726797,2,"ONLY SOME","Graduate deg"
"531",NA,"WORKING FULL TIME",31,"Obama",2,49998.0312106036,4,"A GREAT DEAL","Bachelor deg"
"532",4,"WORKING FULL TIME",35,"Obama",5,53595.0815004707,1,"A GREAT DEAL","HS"
"533",NA,"WORKING FULL TIME",58,"McCain",0,49999.0695682108,1,"ONLY SOME","HS"
"534",7,"RETIRED",66,"McCain",1,54801.9431336848,1,"A GREAT DEAL","HS"
"535",NA,"KEEPING HOUSE",37,NA,2,25988.8018341706,1,"ONLY SOME","HS"
"536",NA,"WORKING FULL TIME",40,"McCain",3,81482.7778242776,4,"A GREAT DEAL","Junior Coll"
"537",6,"WORKING FULL TIME",56,"McCain",1,175261.445990071,1,"ONLY SOME","HS"
"538",6,"WORKING PART TIME",49,"McCain",NA,NA,NA,NA,"HS"
"539",NA,"WORKING PART TIME",30,"McCain",2,74998.3893544957,2,"A GREAT DEAL","Junior Coll"
"540",6,"UNEMPLOYED, LAID OFF",45,"McCain",NA,119716.326470933,NA,NA,"Graduate deg"
"541",NA,"RETIRED",77,"Obama",6,54639.5929935215,3,"A GREAT DEAL","HS"
"542",6,"KEEPING HOUSE",30,"Obama",NA,11727.2931958315,NA,NA,"<HS"
"543",2,"WORKING FULL TIME",43,NA,NA,28798.369498342,NA,NA,"<HS"
"544",6,"WORKING FULL TIME",31,"Obama",1,15866.1135785012,2,"ONLY SOME","HS"
"545",NA,"WORKING FULL TIME",58,"Obama",3,NA,2,"HARDLY ANY","Bachelor deg"
"546",5,"WORKING PART TIME",62,"Obama",NA,27786.2519332469,NA,NA,"HS"
"547",4,"RETIRED",73,NA,4,11498.4188611592,3,"ONLY SOME","<HS"
"548",NA,"WORKING FULL TIME",60,"Obama",6,37132.7707711398,4,"ONLY SOME","HS"
"549",5,"WORKING FULL TIME",32,NA,4,32090.538835899,3,"ONLY SOME","<HS"
"550",NA,"WORKING FULL TIME",24,NA,2,20829.1774584222,1,"A GREAT DEAL","<HS"
"551",9,"RETIRED",71,"Obama",2,11362.1769236093,3,"ONLY SOME","HS"
"552",8,"WORKING FULL TIME",31,"Obama",7,82394.1508000909,2,"A GREAT DEAL","Junior Coll"
"553",NA,"WORKING FULL TIME",42,"McCain",1,20612.7620309542,2,"ONLY SOME","Junior Coll"
"554",2,"KEEPING HOUSE",80,"Obama",4,NA,3,"ONLY SOME","<HS"
"555",6,"RETIRED",76,"Obama",NA,16693.834608076,NA,NA,"HS"
"556",2,"KEEPING HOUSE",40,"Obama",4,2553.46673257037,3,"ONLY SOME","<HS"
"557",5,"WORKING PART TIME",29,NA,NA,20905.8059095253,NA,NA,"<HS"
"558",3,"RETIRED",86,"Obama",6,32676.6217517078,1,"ONLY SOME","<HS"
"559",NA,"WORKING FULL TIME",53,NA,0,49999.667121825,1,"ONLY SOME","HS"
"560",4,"WORKING PART TIME",48,NA,NA,21350.3080931109,NA,NA,"HS"
"561",4,"RETIRED",86,"Obama",NA,9033.68726095143,NA,NA,"<HS"
"562",8,"RETIRED",71,NA,NA,1966.49650057049,NA,NA,"HS"
"563",NA,"WORKING PART TIME",50,NA,5,19247.6379469262,4,"HARDLY ANY","<HS"
"564",NA,"WORKING FULL TIME",40,"Obama",6,NA,4,"A GREAT DEAL","HS"
"565",NA,"WORKING FULL TIME",30,"Obama",6,55141.4074654356,3,"A GREAT DEAL","HS"
"566",6,"WORKING FULL TIME",68,NA,NA,10822.8113929961,NA,NA,"<HS"
"567",3,"WORKING FULL TIME",37,"Obama",5,175261.866974645,3,"A GREAT DEAL","Graduate deg"
"568",6,"UNEMPLOYED, LAID OFF",41,NA,NA,NA,NA,NA,"HS"
"569",NA,"WORKING FULL TIME",64,NA,5,NA,3,"ONLY SOME","Junior Coll"
"570",NA,"RETIRED",72,"McCain",2,49999.8217508439,2,"A GREAT DEAL","HS"
"571",9,"WORKING FULL TIME",40,NA,NA,54645.7592110382,NA,NA,"Bachelor deg"
"572",7,"TEMP NOT WORKING",43,"Obama",NA,NA,NA,NA,"Bachelor deg"
"573",7,"RETIRED",84,"McCain",1,NA,1,"ONLY SOME","Graduate deg"
"574",NA,"WORKING FULL TIME",34,"McCain",2,175225.464743632,4,"A GREAT DEAL","Bachelor deg"
